post_text,post_comment
Will Singtel mio tv broadcast the 2019 FIFA Women’s World Cup? thanks.,https://www.facebook.com/singtel/posts/10156709650351677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
Great customer experience from Aalex Jong @waterway point...he is originally from causeway point..,https://www.facebook.com/singtel/posts/10156709649616677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
Today i went to Waterway Point served by Aalex Jong(originally from Causeway Point) indeed I was very delighted with service he rendered to me very professional. He was very thoughtful in explaining in details of my plan and helping me intern of saving. I have only one word to describe him very initiative and setting a role model for Singtel,https://www.facebook.com/singtel/posts/10156709571511677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
,https://www.facebook.com/singtel/posts/10156709548971677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
I was served by Novi Wong at the causeway point retail shop. She was very helpful polite and friendly. She is kind enough to explain the plans clearly. Thank you so much for the kind services,https://www.facebook.com/singtel/posts/10156709543941677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
"Dear Singtel, I understand that it was my hindsight that I overlooked on the bill payment. But this letter sent to me defeats its purpose. Firstly, the date of the letter and the payment cutoff date are both on the same day. Secondly, I only receive this letter on 27 Feb, way past the cutoff date. So no matter what, I have already incurred the late payment fee.",https://www.facebook.com/singtel/posts/10156709535121677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
Josh from Comcentre has been really helpful to help me compare singtel plans to get the best value for my phone purchase,
"Hi Singtel , does this mean I have the bundle??",https://www.facebook.com/singtel/posts/10156709500726677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
Alvin loh at causeway point was friendly and had help me save money on my monthly plan.,https://www.facebook.com/singtel/posts/10156709470031677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
"Singtel please ask ur customer service to wakeup and if not smart, dont act smart
Cos he look like a clown!",
"Singtel please ask ur customer service to wakeup and if not smart, dont act smart
Cos he look like a clown!",
Would like to commend Oscar Gan from Causeway Point for great product knowledge and excellent customer service. Very patient with all my enquires. Thank you,https://www.facebook.com/singtel/posts/10156709394471677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
"Hi, served by Doreen from causeway point. Very good service and good manner. Efficient and knowledgeable.",https://www.facebook.com/singtel/posts/10156709390741677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
Further update and proof that SingTel is out to cheat my money.,https://www.facebook.com/singtel/posts/10156709371751677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
谢谢Lindy小姐的服务和帮助我解决问题她的服务水准佳。,
I SOUND OUT MY UNHAPPINESS HERE BECAUSE I CANT FIND A BETTER PLATFORM TO TELL PEOPLE OUT HERE THAT SINGTEL SERVICE (CUSTOMER SERVICE AND NETWORK) IS REALLY REALLY BAD.,https://www.facebook.com/singtel/posts/10156709262941677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
"I am experiencing no network access on my mobile, is there a problem with Singtel network?",https://www.facebook.com/singtel/posts/10156709256936677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
,https://www.facebook.com/singtel/posts/10156709169106677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
"Yours staffs from SingTel business hotline 1608 are irresponsible.
We shifted our office on Dec 18, ported all our lines to new office and we encounter multi issues like number is not valid, interrupted phone lines and many more. Called and feedback to your staffs from Singtel 1608 - Raphael, Jason Wong, Jean Mikhail, June Kathleen, Rommel... They doesn't solve our issues at all and they don't get back to us. Called and email but they doesn't seem to bother about it. Our business already been affected negatively. Requested for a technician on site, take forever from SingTel to confirm the date and time.
We are paying for the service but receiving it!",https://www.facebook.com/singtel/posts/10156709135426677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
SINGAPOREANS LOVE THIS 😍😍😍😍😍,
"Dear Singtel
Please advise how to end this current chat so that I can chat your online CSO for request.",https://www.facebook.com/singtel/posts/10156709105991677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
"Service and aftersales issues - my dad has been calling, getting empty promises and waiting since last week.",https://www.facebook.com/singtel/posts/10156709081241677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
"Singtel is lacking very far behind. Their competitors are ahead on subscription plans with very enticing benefits and pricing. Singtel, U better improve or U will see more users leaving. I am still waiting and my contract is ending in about 2 weeks. I am contemplating porting out.",https://www.facebook.com/singtel/posts/10156709041201677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
"Hi Singtel,",https://www.facebook.com/singtel/posts/10156708921016677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
Is Singtel network down again?,https://www.facebook.com/singtel/posts/10156708107411677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
just received this month first bill after recontracting with CIS combo 2 plan. To my surprise there an addition of $10 subscription cost for auto roam.,https://www.facebook.com/singtel/posts/10156708100866677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
Update on a simple situation that takes forever to solve:,https://www.facebook.com/singtel/posts/10156708082656677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
"Hi Singtel,
I just check my phone bill for this month and noticed that I was charged an extra $10 for my Local Mobile Data.
Can someone help to verify if this was charged wrongly?
As I am very sure that I am within the Local Mobile Data limit for the month.",https://www.facebook.com/singtel/posts/10156708061486677?comment_tracking=%7B%22tn%22%3A%22O%22%7D
